Airport,_month,hours,rain_hours,rain_rate_pct,heavy_rain_hours,precip_sum_mm,precip_mean_mm_h,wet_runway_hours,risk_mean
DAD,2025-12,408,273,66.912,0,109.2,0.268,273,1.184
DAD,2026-01,744,222,29.839,0,55.9,0.075,222,0.458
DAD,2026-02,672,188,27.976,0,49.6,0.074,188,0.47
DAD,2026-03,384,208,54.167,1,97.5,0.254,208,0.919
HAN,2025-12,408,67,16.422,0,16.6,0.041,67,0.289
HAN,2026-01,744,117,15.726,1,52.0,0.07,117,0.335
HAN,2026-02,672,151,22.47,0,51.6,0.077,151,0.446
HAN,2026-03,384,46,11.979,0,15.8,0.041,46,0.255
SGN,2025-12,408,60,14.706,2,40.3,0.099,60,0.287
SGN,2026-01,744,33,4.435,2,28.1,0.038,33,0.075
SGN,2026-02,672,86,12.798,3,71.4,0.106,86,0.235
SGN,2026-03,384,60,15.625,0,22.1,0.058,60,0.169
