patch_row_index,origin_airport,destination_airport,crawl_date,flight_no,scheduled_time,actual_time,status
0,SGN,HAN,2025-12-15,VN7268,2025-12-15 22:05:00,2025-12-15 22:41,inserted
1,SGN,HAN,2025-12-15,VN7206,2025-12-15 22:20:00,2025-12-15 22:32,inserted
2,SGN,HAN,2025-12-28,VN7204,2025-12-28 21:15:00,2025-12-28 21:40,inserted
3,SGN,HAN,2025-12-28,VJ182,2025-12-28 23:20:00,2025-12-29 01:52,inserted
4,SGN,HAN,2025-12-28,VN7206,2025-12-28 22:20:00,2025-12-29 00:01,inserted
5,SGN,HAN,2026-01-04,VU794,2026-01-04 21:05:00,2026-01-04 21:56,inserted
6,SGN,HAN,2026-01-04,VN7258,2026-01-04 23:55:00,2026-01-05 01:32,inserted
7,SGN,HAN,2026-01-08,VN7210,2026-01-08 17:30:00,2026-01-08 18:50,inserted
8,SGN,HAN,2026-01-09,VN6010,2026-01-09 09:35:00,2026-01-09 10:06,inserted
9,SGN,HAN,2026-01-10,VJ132,2026-01-10 09:00:00,2026-01-10 12:49,inserted
10,SGN,HAN,2026-01-14,VJ164,2026-01-14 23:00:00,2026-01-15 00:16,inserted
11,SGN,HAN,2026-01-21,VJ196,2026-01-21 19:10:00,2026-01-21 19:30,inserted
12,SGN,HAN,2026-01-21,VJ164,2026-01-21 23:00:00,2026-01-21 23:16,inserted
13,SGN,HAN,2026-01-24,9G882,2026-01-24 21:50:00,2026-01-24 22:18,inserted
14,SGN,HAN,2026-01-24,VJ190,2026-01-24 19:50:00,2026-01-24 20:41,inserted
15,SGN,HAN,2026-01-24,VJ152,2026-01-24 17:00:00,2026-01-24 19:11,inserted
16,SGN,HAN,2026-01-24,VN218,2026-01-24 18:00:00,2026-01-24 19:03,inserted
17,SGN,HAN,2026-01-24,VJ144,2026-01-24 12:00:00,2026-01-24 12:47,inserted
18,SGN,HAN,2026-02-17,QH262,2026-02-17 18:00:00,2026-02-17 20:27,inserted
19,HAN,SGN,2026-01-06,VJ641,2026-01-06 19:30:00,2026-01-06 21:58,inserted
20,HAN,SGN,2026-01-06,VU685,2026-01-06 21:15:00,2026-01-06 21:45,inserted
21,HAN,SGN,2026-01-06,VN137,2026-01-06 18:15:00,2026-01-06 20:49,inserted
22,HAN,SGN,2026-01-06,VJ649,2026-01-06 20:05:00,2026-01-06 20:37,inserted
23,HAN,SGN,2026-01-06,VJ639,2026-01-06 17:15:00,2026-01-06 19:51,inserted
24,HAN,SGN,2026-01-06,VN7133,2026-01-06 18:45:00,2026-01-06 19:17,inserted
25,HAN,SGN,2026-01-06,QH171,2026-01-06 18:40:00,2026-01-06 18:47,inserted
26,HAN,SGN,2026-01-06,VJ631,2026-01-06 15:00:00,2026-01-06 16:31,inserted
27,HAN,SGN,2026-01-06,VN133,2026-01-06 15:25:00,2026-01-06 15:42,inserted
28,HAN,SGN,2026-01-06,VJ635,2026-01-06 13:30:00,2026-01-06 14:55,inserted
29,HAN,SGN,2026-01-06,VN129,2026-01-06 14:00:00,2026-01-06 14:31,inserted
30,SGN,HAN,2025-12-15,VJ522,2025-12-15 22:40:00,2025-12-15 23:45,inserted
