Route,Dep_Index,Arr_Index,Flight_No_Dep,Flight_No_Arr,Scheduled_Tail,Actual_Tail,Gap_Hours,Is_Aircraft_Swapped
SGN->DAD,3,120,VJ636,VJ636,VN-A656,VN-A656,1.05,False
SGN->DAD,10,107,VN148,VN148,VN-A326,VN-A326,1.0167,False
SGN->DAD,22,112,VJ640,VJ640,VN-A663,VN-A663,1.1,False
SGN->DAD,31,105,VJ646,VJ646,VN-A546,VN-A546,1.0,False
SGN->DAD,61,96,VU684,VU684,9H-MLW,9H-MLW,1.2,False
SGN->DAD,62,93,VN142,VN142,VN-A601,VN-A601,1.0333,False
SGN->DAD,78,88,VJ648,VJ648,VN-A699,VN-A699,1.05,False
SGN->DAD,100,80,VN136,VN136,VN-A603,VN-A603,1.05,False
SGN->DAD,106,79,VN140,VN140,VN-A336,VN-A336,1.0833,False
SGN->DAD,113,72,VJ638,VJ638,VN-A668,VN-A668,1.0333,False
SGN->DAD,127,70,VN134,VN134,VN-A353,VN-A353,1.0667,False
SGN->DAD,143,61,VJ632,VJ632,VN-A656,VN-A656,1.0333,False
SGN->DAD,163,57,VN132,VN132,VN-A393,VN-A393,1.0167,False
SGN->DAD,177,53,VN6036,VN6036,VN-A354,VN-A354,0.9667,False
SGN->DAD,184,50,VJ634,VJ634,VN-A668,VN-A668,1.0,False
SGN->DAD,197,45,VN7130,VN7130,VN-A334,VN-A334,1.0333,False
SGN->DAD,210,40,VN126,VN126,VN-A332,VN-A332,1.0,False
SGN->DAD,223,33,VN122,VN122,VN-A338,VN-A338,1.1167,False
SGN->DAD,226,31,QH154,QH154,VN-A585,VN-A585,1.05,False
SGN->DAD,231,29,VJ628,VJ628,VN-A630,VN-A630,1.0333,False
SGN->DAD,237,26,VJ626,VJ626,VN-A549,VN-A549,1.0333,False
SGN->DAD,248,23,VN118,VN118,VN-A505,VN-A505,1.0,False
SGN->DAD,250,22,VU672,VU672,VN-A136,VN-A136,1.0167,False
SGN->DAD,263,19,VJ624,VJ624,VN-A635,VN-A635,1.1167,False
SGN->DAD,267,18,VN112,VN112,VN-A326,VN-A326,1.0167,False
SGN->DAD,290,12,VN110,VN110,VN-A332,VN-A332,1.0167,False
SGN->DAD,297,10,VJ620,VJ620,VN-A676,VN-A676,1.0333,False
SGN->DAD,305,8,QH150,QH150,JU-1410,JU-1410,1.0667,False
SGN->DAD,307,7,VN106,VN106,VN-A338,VN-A338,1.0,False
